Illegal Parking,People Counting,0-5,6-11,12-17,18-23
1,1,5,0,0,0
1,24,0,0,0,0
1,48,0,0,0,0
1,96,0,0,0,0
1,144,0,0,0,0
1,0,0,0,0,0
24,1,0,0,0,0
24,24,0,0,0,0
24,48,0,0,0,0
24,96,0,0,0,0
24,144,0,0,0,0
24,0,0,0,0,0
48,1,0,0,0,0
48,24,0,0,0,0
48,48,0,0,0,0
48,96,0,0,0,0
48,144,0,0,0,0
48,0,0,0,0,0
96,1,0,0,0,0
96,24,0,0,0,0
96,48,0,0,0,0
96,96,0,0,0,0
96,144,0,0,0,0
96,0,0,0,0,0
144,1,0,0,0,0
144,24,0,0,0,0
144,48,0,0,0,0
144,96,0,0,0,0
144,144,0,0,0,0
144,0,48,12,20,71
0,1,0,0,0,0
0,24,0,0,0,0
0,48,0,0,0,0
0,96,0,0,0,0
0,144,17,60,51,0
0,0,0,0,0,0
