Illegal Parking,People Counting,0-5,6-11,12-17,18-23
1,1,42,37,20,43
1,24,2,5,11,0
1,48,0,0,1,1
1,96,0,0,2,0
1,144,0,0,1,0
1,0,0,0,0,0
24,1,2,12,18,12
24,24,24,13,17,12
24,48,0,0,0,0
24,96,0,0,0,0
24,144,0,0,0,0
24,0,0,0,0,0
48,1,0,0,1,1
48,24,0,3,0,0
48,48,0,0,0,0
48,96,0,0,0,0
48,144,0,0,0,0
48,0,0,0,0,0
96,1,0,2,0,0
96,24,0,0,0,0
96,48,0,0,0,0
96,96,0,0,0,0
96,144,0,0,0,0
96,0,0,0,0,0
144,1,0,0,0,1
144,24,0,0,0,0
144,48,0,0,0,0
144,96,0,0,0,0
144,144,0,0,0,0
144,0,0,0,0,0
0,1,0,0,0,1
0,24,0,0,0,0
0,48,0,0,0,0
0,96,0,0,0,0
0,144,0,0,0,0
0,0,0,0,0,0
