Illegal Parking,People Counting,0-5,6-11,12-17,18-23
1,1,38,42,27,44
1,24,1,0,0,3
1,48,0,0,0,1
1,96,0,0,0,0
1,144,0,0,0,0
1,0,2,0,0,1
24,1,3,8,11,6
24,24,7,9,9,6
24,48,0,0,0,0
24,96,0,0,0,1
24,144,0,0,0,0
24,0,1,0,0,1
48,1,0,1,0,0
48,24,1,1,1,0
48,48,0,0,0,0
48,96,0,0,0,0
48,144,0,0,0,0
48,0,0,0,0,0
96,1,0,0,1,1
96,24,1,1,0,0
96,48,0,0,0,0
96,96,0,0,0,0
96,144,0,0,0,0
96,0,0,0,0,0
144,1,0,0,1,0
144,24,0,0,0,0
144,48,0,0,0,0
144,96,0,0,0,0
144,144,0,0,0,0
144,0,0,0,0,0
0,1,0,5,13,4
0,24,0,2,1,0
0,48,2,0,1,1
0,96,0,0,0,0
0,144,1,0,1,0
0,0,13,3,5,2
