a_type,day_of_week,time_of_day,a_parameter,fps,bitrate,total_frame_number,name,time_consumption,target
illegal_parking0,0,2,1,6,100,723,./storage_server_volume/converted_videos/6-100/2020-11-04_00-00-00/Pole1_2020-11-04_02-00-00.mp4,70.97446870803833,1
illegal_parking0,0,3,1,6,100,2094,./storage_server_volume/converted_videos/6-100/2020-11-04_00-00-00/Pole1_2020-11-04_03-00-00.mp4,115.76788997650146,0
illegal_parking0,0,4,1,6,100,7804,./storage_server_volume/converted_videos/6-100/2020-11-04_00-00-00/Pole1_2020-11-04_04-00-01.mp4,302.68845891952515,0
illegal_parking0,0,5,1,6,100,6299,./storage_server_volume/converted_videos/6-100/2020-11-04_00-00-00/Pole1_2020-11-04_05-00-00.mp4,255.09936022758484,32
illegal_parking0,0,6,1,6,100,9364,./storage_server_volume/converted_videos/6-100/2020-11-04_00-00-00/Pole1_2020-11-04_06-00-00.mp4,356.676748752594,48
illegal_parking0,0,7,1,6,100,16447,./storage_server_volume/converted_videos/6-100/2020-11-04_00-00-00/Pole1_2020-11-04_07-00-00.mp4,589.8691816329956,59
illegal_parking0,0,8,1,6,100,19145,./storage_server_volume/converted_videos/6-100/2020-11-04_00-00-00/Pole1_2020-11-04_08-00-00.mp4,751.668309211731,139
illegal_parking0,0,9,1,6,100,18635,./storage_server_volume/converted_videos/6-100/2020-11-04_00-00-00/Pole1_2020-11-04_09-00-00.mp4,991.9999725818634,1120
illegal_parking0,0,10,1,6,100,20693,./storage_server_volume/converted_videos/6-100/2020-11-04_00-00-00/Pole1_2020-11-04_10-00-00.mp4,1065.8233287334442,136
illegal_parking0,0,11,1,6,100,16534,./storage_server_volume/converted_videos/6-100/2020-11-04_00-00-00/Pole1_2020-11-04_11-00-01.mp4,844.15318775177,253
illegal_parking0,0,12,1,6,100,20720,./storage_server_volume/converted_videos/6-100/2020-11-04_00-00-00/Pole1_2020-11-04_12-00-00.mp4,1081.1946306228638,309
illegal_parking0,0,13,1,6,100,21448,./storage_server_volume/converted_videos/6-100/2020-11-04_00-00-00/Pole1_2020-11-04_13-00-00.mp4,1137.8914940357208,356
illegal_parking0,0,14,1,6,100,21536,./storage_server_volume/converted_videos/6-100/2020-11-04_00-00-00/Pole1_2020-11-04_14-00-00.mp4,1136.9656174182892,1021
illegal_parking0,0,15,1,6,100,21573,./storage_server_volume/converted_videos/6-100/2020-11-04_00-00-00/Pole1_2020-11-04_15-00-00.mp4,1147.2726383209229,874
illegal_parking0,0,16,1,6,100,21014,./storage_server_volume/converted_videos/6-100/2020-11-04_00-00-00/Pole1_2020-11-04_16-00-01.mp4,1122.655356168747,359
illegal_parking0,0,17,1,6,100,19235,./storage_server_volume/converted_videos/6-100/2020-11-04_00-00-00/Pole1_2020-11-04_17-00-00.mp4,1044.7346897125244,522
illegal_parking0,0,18,1,6,100,17568,./storage_server_volume/converted_videos/6-100/2020-11-04_00-00-00/Pole1_2020-11-04_18-00-00.mp4,952.0398209095001,210
illegal_parking0,0,19,1,6,100,13922,./storage_server_volume/converted_videos/6-100/2020-11-04_00-00-00/Pole1_2020-11-04_19-00-00.mp4,770.2015159130096,214
illegal_parking0,0,20,1,6,100,10342,./storage_server_volume/converted_videos/6-100/2020-11-04_00-00-00/Pole1_2020-11-04_20-00-00.mp4,581.5277514457703,138
illegal_parking0,0,22,1,6,100,7939,./storage_server_volume/converted_videos/6-100/2020-11-04_00-00-00/Pole1_2020-11-04_22-00-00.mp4,456.95123648643494,169
illegal_parking0,0,23,1,6,100,6158,./storage_server_volume/converted_videos/6-100/2020-11-04_00-00-00/Pole1_2020-11-04_23-00-00.mp4,376.07857155799866,430
illegal_parking0,0,2,1,6,10,723,./storage_server_volume/converted_videos/6-10/2020-11-04_00-00-00/Pole1_2020-11-04_02-00-00.mp4,89.94052410125732,0
illegal_parking0,0,3,1,6,10,2094,./storage_server_volume/converted_videos/6-10/2020-11-04_00-00-00/Pole1_2020-11-04_03-00-00.mp4,151.6545867919922,0
illegal_parking0,0,4,1,6,10,7804,./storage_server_volume/converted_videos/6-10/2020-11-04_00-00-00/Pole1_2020-11-04_04-00-01.mp4,451.9410021305084,0
illegal_parking0,0,5,1,6,10,6299,./storage_server_volume/converted_videos/6-10/2020-11-04_00-00-00/Pole1_2020-11-04_05-00-00.mp4,379.3255834579468,9
illegal_parking0,0,6,1,6,10,9364,./storage_server_volume/converted_videos/6-10/2020-11-04_00-00-00/Pole1_2020-11-04_06-00-00.mp4,528.7078371047974,24
illegal_parking0,0,7,1,6,10,16447,./storage_server_volume/converted_videos/6-10/2020-11-04_00-00-00/Pole1_2020-11-04_07-00-00.mp4,890.9099586009979,49
illegal_parking0,0,8,1,6,10,19145,./storage_server_volume/converted_videos/6-10/2020-11-04_00-00-00/Pole1_2020-11-04_08-00-00.mp4,1039.70401597023,104
illegal_parking0,0,9,1,6,10,18635,./storage_server_volume/converted_videos/6-10/2020-11-04_00-00-00/Pole1_2020-11-04_09-00-00.mp4,1001.7652695178986,889
illegal_parking0,0,10,1,6,10,20693,./storage_server_volume/converted_videos/6-10/2020-11-04_00-00-00/Pole1_2020-11-04_10-00-00.mp4,1110.0477168560028,97
illegal_parking0,0,11,1,6,10,16534,./storage_server_volume/converted_videos/6-10/2020-11-04_00-00-00/Pole1_2020-11-04_11-00-01.mp4,538.3123285770416,175
illegal_parking0,0,12,1,6,10,20720,./storage_server_volume/converted_videos/6-10/2020-11-04_00-00-00/Pole1_2020-11-04_12-00-00.mp4,659.8472139835358,204
illegal_parking0,0,13,1,6,10,21448,./storage_server_volume/converted_videos/6-10/2020-11-04_00-00-00/Pole1_2020-11-04_13-00-00.mp4,696.9049184322357,259
illegal_parking0,0,14,1,6,10,21536,./storage_server_volume/converted_videos/6-10/2020-11-04_00-00-00/Pole1_2020-11-04_14-00-00.mp4,701.8162970542908,728
illegal_parking0,0,15,1,6,10,21573,./storage_server_volume/converted_videos/6-10/2020-11-04_00-00-00/Pole1_2020-11-04_15-00-00.mp4,696.8058502674103,636
illegal_parking0,0,16,1,6,10,21014,./storage_server_volume/converted_videos/6-10/2020-11-04_00-00-00/Pole1_2020-11-04_16-00-01.mp4,670.2391495704651,268
illegal_parking0,0,17,1,6,10,19235,./storage_server_volume/converted_videos/6-10/2020-11-04_00-00-00/Pole1_2020-11-04_17-00-00.mp4,615.2490665912628,437
illegal_parking0,0,18,1,6,10,17568,./storage_server_volume/converted_videos/6-10/2020-11-04_00-00-00/Pole1_2020-11-04_18-00-00.mp4,563.1390051841736,165
illegal_parking0,0,19,1,6,10,13922,./storage_server_volume/converted_videos/6-10/2020-11-04_00-00-00/Pole1_2020-11-04_19-00-00.mp4,469.56488370895386,183
illegal_parking0,0,20,1,6,10,10342,./storage_server_volume/converted_videos/6-10/2020-11-04_00-00-00/Pole1_2020-11-04_20-00-00.mp4,363.0697605609894,91
