a_type,day_of_week,time_of_day,a_parameter,fps,bitrate,total_frame_number,name,time_consumption,target
people_counting,0,0,1,6,100,2208,./storage_server_volume/converted_videos/6-100/2020-11-09_00-00-00/Pole1_2020-11-09_00-00-00.mp4,134.8036904335022,135
people_counting,0,1,1,6,100,5849,./storage_server_volume/converted_videos/6-100/2020-11-09_00-00-00/Pole1_2020-11-09_01-00-00.mp4,271.7975790500641,567
people_counting,0,2,1,6,100,5157,./storage_server_volume/converted_videos/6-100/2020-11-09_00-00-00/Pole1_2020-11-09_02-00-00.mp4,257.54656314849854,4
people_counting,0,3,1,6,100,10326,./storage_server_volume/converted_videos/6-100/2020-11-09_00-00-00/Pole1_2020-11-09_03-00-00.mp4,539.2551798820496,0
people_counting,0,4,1,6,100,8322,./storage_server_volume/converted_videos/6-100/2020-11-09_00-00-00/Pole1_2020-11-09_04-00-00.mp4,432.42065262794495,150
people_counting,0,5,1,6,100,9420,./storage_server_volume/converted_videos/6-100/2020-11-09_00-00-00/Pole1_2020-11-09_05-00-01.mp4,481.9611735343933,283
people_counting,0,6,1,6,100,7601,./storage_server_volume/converted_videos/6-100/2020-11-09_00-00-00/Pole1_2020-11-09_06-00-00.mp4,423.176855802536,1059
people_counting,0,7,1,6,100,20040,./storage_server_volume/converted_videos/6-100/2020-11-09_00-00-00/Pole1_2020-11-09_07-00-00.mp4,1057.4720447063446,2405
people_counting,0,8,1,6,100,21599,./storage_server_volume/converted_videos/6-100/2020-11-09_00-00-00/Pole1_2020-11-09_08-00-00.mp4,1081.5846962928772,3562
people_counting,0,9,1,6,100,21602,./storage_server_volume/converted_videos/6-100/2020-11-09_00-00-00/Pole1_2020-11-09_09-00-00.mp4,945.7012076377869,9131
people_counting,0,10,1,6,100,21476,./storage_server_volume/converted_videos/6-100/2020-11-09_00-00-00/Pole1_2020-11-09_10-00-00.mp4,1080.8398418426514,6820
people_counting,0,11,1,6,100,15014,./storage_server_volume/converted_videos/6-100/2020-11-09_00-00-00/Pole1_2020-11-09_11-00-00.mp4,774.1648075580597,7536
people_counting,0,12,1,6,100,14598,./storage_server_volume/converted_videos/6-100/2020-11-09_00-00-00/Pole1_2020-11-09_12-00-00.mp4,781.9971578121185,9164
people_counting,0,13,1,6,100,19130,./storage_server_volume/converted_videos/6-100/2020-11-09_00-00-00/Pole1_2020-11-09_13-00-00.mp4,988.1510419845581,11935
people_counting,0,14,1,6,100,21109,./storage_server_volume/converted_videos/6-100/2020-11-09_00-00-00/Pole1_2020-11-09_14-00-01.mp4,914.4381680488586,25919
people_counting,0,15,1,6,100,20913,./storage_server_volume/converted_videos/6-100/2020-11-09_00-00-00/Pole1_2020-11-09_15-00-00.mp4,837.1745581626892,24798
people_counting,0,16,1,6,100,20716,./storage_server_volume/converted_videos/6-100/2020-11-09_00-00-00/Pole1_2020-11-09_16-00-01.mp4,1014.1361064910889,10057
